,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lagoa,39.05,-27.98,72.9,88,0,5.68,PT,1595905426
1,Punta Arenas,-53.15,-70.92,34.43,59,61,8.05,CL,1595905426
2,Butaritari,3.07,172.79,83.17,78,100,11.54,KI,1595905426
3,Sisimiut,66.94,-53.67,43.92,94,100,6.64,GL,1595905426
4,Los Llanos de Aridane,28.66,-17.92,71.94,73,90,17.22,ES,1595905426
5,Margate,51.38,1.39,60.66,72,32,1.99,GB,1595905382
6,Stephenville,32.22,-98.2,84.72,51,1,8.05,US,1595905374
7,East London,-33.02,27.91,55.81,59,0,5.82,ZA,1595905203
8,Vestmannaeyjar,63.44,-20.27,50.13,77,0,19.71,IS,1595905427
9,Akure,7.25,5.19,70.3,98,100,4.27,NG,1595905427
10,Avarua,-21.21,-159.78,73.4,73,23,9.17,CK,1595905427
11,Port Alfred,-33.59,26.89,55.42,62,0,7.23,ZA,1595905305
12,Hobart,-42.88,147.33,53.53,76,75,5.82,AU,1595905427
13,Ushuaia,-54.8,-68.3,33.8,86,20,26.4,AR,1595905427
14,Mataura,-46.19,168.86,48.99,82,100,2.28,NZ,1595905427
15,Rikitea,-23.12,-134.97,72.5,82,95,14.09,PF,1595905427
16,La Romana,18.43,-68.97,78.8,94,40,10.69,DO,1595905427
17,Bredasdorp,-34.53,20.04,39.2,93,0,1.12,ZA,1595905427
18,Kamaishi,39.27,141.88,69.8,94,75,2.24,JP,1595905427
19,Jamestown,42.1,-79.24,72.34,94,75,8.05,US,1595905427
20,Qaanaaq,77.48,-69.36,40.17,70,0,0.94,GL,1595905427
21,Neiafu,-18.65,-173.98,77.0,83,40,9.17,TO,1595905427
22,Point Pleasant,40.08,-74.07,83.73,70,1,8.05,US,1595905427
23,Tasiilaq,65.61,-37.64,39.2,93,38,6.93,GL,1595905384
24,Ewo,-0.87,14.82,74.71,73,9,5.21,CG,1595905427
25,New Norfolk,-42.78,147.06,49.82,88,43,1.59,AU,1595905428
26,Comodoro Rivadavia,-45.87,-67.5,39.2,64,0,10.29,AR,1595905428
27,Busselton,-33.65,115.33,60.69,98,98,10.38,AU,1595905428
29,Vaini,-21.2,-175.2,71.6,83,75,14.99,TO,1595905428
30,Port Hedland,-20.32,118.57,80.6,13,59,17.22,AU,1595905213
31,Deputatsky,69.3,139.9,48.42,64,99,7.18,RU,1595905428
32,Husavik,66.04,-17.34,46.4,81,90,10.29,IS,1595905428
34,Aklavik,68.22,-135.01,66.2,52,75,16.11,CA,1595905428
35,Senanga,-16.12,23.27,48.13,58,0,5.79,ZM,1595905428
36,Mar del Plata,-38.0,-57.56,41.34,86,75,9.17,AR,1595905242
37,Hobyo,5.35,48.53,79.03,75,33,19.89,SO,1595905428
38,Sadova,43.9,23.95,64.36,82,0,3.36,RO,1595905428
39,Hirara,24.8,125.28,86.0,79,75,11.41,JP,1595905428
40,Thompson,55.74,-97.86,59.0,77,75,5.82,CA,1595905229
41,Świnoujście,53.91,14.25,64.99,73,100,1.01,PL,1595905428
42,Carnarvon,-24.87,113.63,71.6,56,0,14.99,AU,1595905429
43,Ribeira Grande,38.52,-28.7,73.27,88,6,5.35,PT,1595905429
44,Ayan,56.45,138.17,63.5,78,77,11.63,RU,1595905429
45,Kaseda-shirakame,31.42,130.32,84.09,79,75,8.05,JP,1595905429
46,Florianópolis,-27.61,-48.5,64.4,93,73,8.05,BR,1595905429
47,Hilo,19.73,-155.09,77.2,61,90,10.29,US,1595905209
48,Cabo San Lucas,22.89,-109.91,82.08,69,40,11.41,MX,1595905239
49,Gao,16.64,1.64,78.31,72,96,16.55,ML,1595905429
50,Nanortalik,60.14,-45.24,46.15,95,100,4.45,GL,1595905429
51,College,64.86,-147.8,56.3,77,90,5.82,US,1595905429
52,Dabakala,8.37,-4.43,69.28,96,98,5.08,CI,1595905429
53,Dikson,73.51,80.55,41.27,79,49,14.29,RU,1595905225
54,Acapulco de Juárez,16.86,-99.89,77.0,94,90,14.99,MX,1595905154
55,Hermanus,-34.42,19.23,42.01,95,0,1.99,ZA,1595905286
56,Bluff,-46.6,168.33,48.0,82,100,4.41,NZ,1595905197
57,Yar-Sale,66.83,70.83,56.14,56,83,15.46,RU,1595905429
58,Omsukchan,62.53,155.8,78.85,32,23,15.95,RU,1595905429
59,Puerto Ayora,-0.74,-90.35,66.0,98,87,1.99,EC,1595905429
60,George Town,5.41,100.34,86.0,66,20,11.41,MY,1595905430
61,Kaitangata,-46.28,169.85,48.99,67,100,5.01,NZ,1595905430
62,Saint Paul Harbor,57.79,-152.41,60.8,72,1,5.82,US,1595905430
63,Geraldton,-28.77,114.6,66.2,77,90,11.41,AU,1595905430
65,Pangnirtung,66.15,-65.71,57.36,52,100,4.65,CA,1595905430
66,Kuminskiy,58.67,66.57,55.98,67,48,4.76,RU,1595905430
67,Chapleau,47.84,-83.4,57.85,87,1,6.85,CA,1595905430
